TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	6417.5	6322.3	6514.1
50000.0	7570.6	7499.7	7642.2
75000.0	7945.7	7788.7	8105.9
100000.0	8133.2	7874.0	8400.9
125000.0	8247.3	7883.4	8628.0
150000.0	8311.7	7860.1	8789.2
175000.0	8370.7	7849.7	8926.4
200000.0	8424.0	7848.0	9042.4
225000.0	8453.9	7833.8	9123.1
250000.0	8475.1	7819.0	9186.2
275000.0	8501.0	7815.1	9247.1
300000.0	8519.3	7808.4	9295.0
325000.0	8534.2	7801.9	9335.2
350000.0	8547.5	7796.8	9370.5
375000.0	8559.4	7792.7	9401.6
400000.0	8569.3	7788.4	9428.4
425000.0	8577.1	7783.8	9451.2
450000.0	8582.7	7778.4	9470.3
475000.0	8588.7	7774.4	9488.3
500000.0	8594.1	7770.8	9504.6
525000.0	8599.0	7767.6	9519.5
550000.0	8603.5	7764.7	9533.0
575000.0	8607.6	7762.0	9545.4
600000.0	8611.4	7759.6	9556.8
625000.0	8614.9	7757.4	9567.3
650000.0	8618.2	7755.3	9577.0
675000.0	8621.2	7753.4	9586.1
700000.0	8624.0	7751.6	9594.5
725000.0	8626.6	7750.0	9602.3
750000.0	8629.0	7748.5	9609.7
775000.0	8631.3	7747.1	9616.5
800000.0	8633.5	7745.7	9623.0
825000.0	8635.5	7744.5	9629.1
850000.0	8637.7	7743.6	9635.1
875000.0	8640.5	7743.5	9641.5
900000.0	8643.2	7743.4	9647.6
925000.0	8645.7	7743.3	9653.3
950000.0	8648.2	7743.3	9658.8
975000.0	8650.4	7743.2	9664.0
1000000.0	8652.6	7743.1	9668.9
1025000.0	8654.7	7743.1	9673.6
1050000.0	8656.7	7743.0	9678.1
1075000.0	8658.6	7743.0	9682.4
1100000.0	8660.4	7743.0	9686.5
1125000.0	8662.1	7742.9	9690.4
1150000.0	8663.8	7742.9	9694.2
1175000.0	8665.4	7742.9	9697.8
1200000.0	8666.9	7742.9	9701.2
1225000.0	8668.4	7742.8	9704.5
1250000.0	8669.8	7742.8	9707.7
1275000.0	8671.1	7742.8	9710.7
1300000.0	8672.4	7742.8	9713.7
1325000.0	8673.7	7742.8	9716.5
1350000.0	8674.9	7742.7	9719.2
1375000.0	8676.0	7742.7	9721.9
1400000.0	8677.2	7742.7	9724.4
1425000.0	8678.3	7742.7	9726.9
1450000.0	8679.3	7742.7	9729.2
1475000.0	8680.3	7742.7	9731.5
1500000.0	8681.3	7742.7	9733.7
1525000.0	8682.3	7742.7	9735.9
1550000.0	8683.2	7742.6	9738.0
1575000.0	8684.1	7742.6	9740.0
1600000.0	8684.8	7742.5	9741.8
1625000.0	8685.4	7742.3	9743.5
1650000.0	8686.0	7742.1	9745.1
1675000.0	8686.6	7741.8	9746.6
1700000.0	8687.1	7741.6	9748.2
1725000.0	8687.7	7741.4	9749.6
1750000.0	8688.2	7741.2	9751.1
1775000.0	8688.7	7741.0	9752.5
1800000.0	8689.2	7740.8	9753.8
1825000.0	8689.7	7740.6	9755.1
1850000.0	8690.2	7740.5	9756.4
1875000.0	8690.6	7740.3	9757.7
1900000.0	8691.1	7740.1	9758.9
1925000.0	8691.5	7740.0	9760.1
1950000.0	8691.9	7739.8	9761.2
1975000.0	8692.4	7739.6	9762.4
