total_reads	distinct_reads
0	0
2500	1975
5000	3456
7500	4612
10000	5714
12500	6608
15000	7341
17500	8084
20000	8658
22500	9221
25000	9848
27500	10271
30000	10614
32500	11116
35000	11538
37500	11839
40000	12158
42500	12542
45000	12770
47500	13073
50000	13323
52500	13552
55000	13714
57500	13978
60000	14212
62500	14432
65000	14528
67500	14732
70000	14918
72500	15091
75000	15238
77500	15315
80000	15423
82500	15621
85000	15777
87500	15875
90000	15984
92500	16089
95000	16216
97500	16275
100000	16343
102500	16506
105000	16542
107500	16650
110000	16724
112500	16772
115000	16875
117500	16952
120000	17020
122500	17092
125000	17152
