TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	9642.0	9472.3	9814.8
50000.0	13043.5	12879.0	13210.1
75000.0	14875.0	14725.5	15026.0
100000.0	15987.0	15864.4	16110.5
125000.0	16743.5	16633.9	16853.9
150000.0	17257.1	17173.5	17341.1
175000.0	17632.7	17560.3	17705.3
200000.0	17904.1	17836.7	17971.7
225000.0	18111.4	18039.2	18183.8
250000.0	18285.9	18197.3	18375.0
275000.0	18425.1	18308.6	18542.4
300000.0	18549.9	18397.2	18703.8
325000.0	18668.8	18474.4	18865.3
350000.0	18772.3	18532.3	19015.4
375000.0	18859.7	18574.2	19149.6
400000.0	18938.9	18610.0	19273.6
425000.0	19026.7	18657.3	19403.4
450000.0	19105.3	18698.2	19521.2
475000.0	19173.2	18731.2	19625.6
500000.0	19230.7	18756.2	19717.1
525000.0	19273.5	18768.9	19791.7
550000.0	19314.4	18781.6	19862.3
575000.0	19361.0	18801.8	19936.7
600000.0	19390.8	18807.0	19992.7
625000.0	19421.9	18815.0	20048.5
650000.0	19457.0	18828.3	20106.8
675000.0	19487.6	18838.3	20159.3
700000.0	19520.2	18851.4	20212.6
725000.0	19550.3	18863.2	20262.5
750000.0	19587.5	18882.9	20318.4
775000.0	19617.7	18896.5	20366.3
800000.0	19643.6	18906.7	20409.2
825000.0	19674.9	18923.0	20456.7
850000.0	19704.6	18938.4	20501.8
875000.0	19731.8	18952.0	20543.8
900000.0	19753.4	18960.5	20579.4
925000.0	19769.8	18964.4	20609.4
950000.0	19783.6	18966.3	20636.2
975000.0	19796.8	18967.9	20661.8
1000000.0	19809.2	18969.4	20686.3
1025000.0	19821.0	18970.6	20709.6
1050000.0	19832.3	18971.7	20732.0
1075000.0	19843.0	18972.6	20753.4
1100000.0	19853.5	18973.7	20774.2
1125000.0	19867.5	18978.6	20798.1
1150000.0	19881.2	18983.5	20821.3
1175000.0	19894.3	18988.1	20843.6
1200000.0	19906.9	18992.6	20865.2
1225000.0	19919.1	18996.9	20886.0
1250000.0	19930.8	19001.0	20906.1
1275000.0	19942.1	19004.9	20925.6
1300000.0	19953.0	19008.7	20944.3
1325000.0	19963.6	19012.3	20962.5
1350000.0	19973.8	19015.8	20980.1
1375000.0	19988.6	19024.1	21002.0
1400000.0	20002.9	19032.0	21023.3
1425000.0	20014.0	19037.0	21041.1
1450000.0	20019.9	19036.9	21053.5
1475000.0	20027.3	19038.6	21067.3
1500000.0	20037.0	19042.7	21083.2
1525000.0	20046.5	19046.7	21098.7
1550000.0	20055.8	19050.7	21113.9
1575000.0	20063.7	19053.5	21127.5
1600000.0	20069.3	19054.1	21138.7
1625000.0	20074.7	19054.6	21149.5
1650000.0	20080.0	19055.1	21160.0
1675000.0	20085.1	19055.6	21170.3
1700000.0	20090.0	19056.0	21180.2
1725000.0	20094.9	19056.4	21189.9
1750000.0	20099.5	19056.8	21199.3
1775000.0	20104.1	19057.1	21208.5
1800000.0	20108.5	19057.4	21217.5
1825000.0	20112.8	19057.7	21226.2
1850000.0	20116.9	19058.0	21234.7
1875000.0	20121.0	19058.3	21243.0
1900000.0	20125.0	19058.5	21251.1
1925000.0	20128.8	19058.7	21259.0
1950000.0	20132.6	19058.9	21266.7
1975000.0	20136.2	19059.1	21274.2
