TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	5736.0	5647.1	5826.3
50000.0	6721.5	6664.1	6779.4
75000.0	7085.5	7046.0	7125.3
100000.0	7272.8	7222.8	7323.1
125000.0	7390.3	7307.8	7473.8
150000.0	7468.0	7353.8	7583.9
175000.0	7519.3	7375.4	7666.0
200000.0	7557.5	7383.1	7735.9
225000.0	7585.4	7381.2	7795.3
250000.0	7608.9	7376.2	7848.8
275000.0	7628.7	7369.4	7897.1
300000.0	7645.3	7361.1	7940.4
325000.0	7662.7	7355.6	7982.7
350000.0	7676.6	7348.1	8019.7
375000.0	7684.7	7336.6	8049.3
400000.0	7693.0	7326.8	8077.6
425000.0	7701.6	7318.6	8104.8
450000.0	7709.3	7310.6	8129.7
475000.0	7716.2	7303.1	8152.7
500000.0	7722.4	7295.8	8173.9
525000.0	7728.0	7288.9	8193.5
550000.0	7733.6	7282.9	8212.2
575000.0	7739.1	7277.5	8230.0
600000.0	7743.2	7271.4	8245.6
625000.0	7747.0	7265.7	8260.2
650000.0	7750.5	7260.2	8273.9
675000.0	7753.7	7255.0	8286.7
700000.0	7756.7	7250.0	8298.8
725000.0	7759.5	7245.3	8310.2
750000.0	7762.1	7240.9	8320.9
775000.0	7764.6	7236.6	8331.0
800000.0	7766.8	7232.6	8340.6
825000.0	7769.0	7228.7	8349.7
850000.0	7771.0	7225.0	8358.3
875000.0	7772.9	7221.5	8366.5
900000.0	7774.7	7218.1	8374.3
925000.0	7776.0	7214.4	8381.3
950000.0	7777.2	7211.0	8387.9
975000.0	7778.4	7207.6	8394.3
1000000.0	7779.4	7204.4	8400.4
1025000.0	7780.5	7201.3	8406.2
1050000.0	7781.5	7198.4	8411.8
1075000.0	7782.4	7195.5	8417.1
1100000.0	7783.3	7192.8	8422.2
1125000.0	7784.1	7190.2	8427.1
1150000.0	7784.9	7187.7	8431.9
1175000.0	7785.7	7185.2	8436.4
1200000.0	7786.6	7183.0	8440.9
1225000.0	7787.6	7181.1	8445.4
1250000.0	7788.6	7179.2	8449.8
1275000.0	7789.6	7177.4	8454.0
1300000.0	7790.5	7175.7	8458.1
1325000.0	7791.4	7174.0	8462.0
1350000.0	7792.3	7172.4	8465.8
1375000.0	7793.1	7170.8	8469.5
1400000.0	7793.9	7169.3	8473.0
1425000.0	7794.7	7167.8	8476.5
1450000.0	7795.5	7166.4	8479.8
1475000.0	7796.2	7165.0	8483.0
1500000.0	7796.9	7163.6	8486.1
1525000.0	7797.5	7162.3	8489.1
1550000.0	7798.2	7161.0	8492.1
1575000.0	7798.8	7159.8	8494.9
1600000.0	7799.4	7158.6	8497.7
1625000.0	7800.0	7157.4	8500.3
1650000.0	7800.6	7156.3	8502.9
1675000.0	7801.2	7155.2	8505.5
1700000.0	7801.7	7154.1	8507.9
1725000.0	7802.0	7152.9	8510.1
1750000.0	7802.4	7151.7	8512.3
1775000.0	7802.7	7150.5	8514.3
1800000.0	7803.0	7149.3	8516.4
1825000.0	7803.3	7148.2	8518.3
1850000.0	7803.5	7147.1	8520.3
1875000.0	7803.8	7146.0	8522.2
1900000.0	7804.1	7145.0	8524.0
1925000.0	7804.4	7144.0	8525.8
1950000.0	7804.6	7143.0	8527.5
1975000.0	7804.9	7142.0	8529.2
