total_reads	distinct_reads
0	0
2500	1933
5000	3250
7500	4310
10000	5243
12500	6088
15000	6664
17500	7280
20000	7822
22500	8241
25000	8585
27500	9004
30000	9368
32500	9600
35000	9908
37500	10238
40000	10460
42500	10688
45000	10875
47500	11031
50000	11199
52500	11426
55000	11553
57500	11667
60000	11911
62500	11997
65000	12073
67500	12169
70000	12279
72500	12380
75000	12505
77500	12613
80000	12705
82500	12796
85000	12835
87500	12876
90000	13031
92500	13065
95000	13121
97500	13172
100000	13240
102500	13290
105000	13340
107500	13396
110000	13489
112500	13475
115000	13549
117500	13574
120000	13606
122500	13706
125000	13712
127500	13726
130000	13804
132500	13800
135000	13824
137500	13858
140000	13944
142500	13927
145000	13981
147500	13997
150000	13970
152500	14041
155000	14107
157500	14074
160000	14105
162500	14152
165000	14159
167500	14163
170000	14133
172500	14191
175000	14232
177500	14239
180000	14248
182500	14272
185000	14268
187500	14282
190000	14302
192500	14327
195000	14321
197500	14341
200000	14379
202500	14355
205000	14389
207500	14419
210000	14437
212500	14408
215000	14437
217500	14437
220000	14476
222500	14459
225000	14491
227500	14504
230000	14475
232500	14503
235000	14520
237500	14524
240000	14516
242500	14522
245000	14526
247500	14548
250000	14554
252500	14547
255000	14555
257500	14568
260000	14572
262500	14568
265000	14580
267500	14576
270000	14583
272500	14588
275000	14592
277500	14604
280000	14602
282500	14609
285000	14610
