total_reads	distinct_reads
0	0
2500	1952
5000	3413
7500	4540
10000	5588
12500	6418
15000	7201
17500	7889
20000	8417
22500	8989
25000	9573
27500	9946
30000	10403
32500	10801
35000	11127
37500	11446
40000	11742
42500	12074
45000	12241
47500	12515
50000	12803
52500	13101
55000	13155
57500	13451
60000	13597
62500	13676
65000	13950
67500	14164
70000	14345
72500	14464
75000	14565
77500	14663
80000	14782
82500	14939
85000	15013
87500	15098
90000	15198
92500	15361
95000	15464
97500	15517
100000	15635
102500	15684
105000	15831
107500	15833
110000	15912
112500	16008
115000	16080
117500	16132
120000	16232
122500	16300
125000	16316
127500	16371
130000	16512
132500	16509
135000	16559
137500	16646
140000	16669
142500	16758
145000	16776
147500	16806
150000	16833
152500	16866
155000	16945
157500	16952
160000	17007
162500	17046
165000	17074
167500	17111
170000	17146
172500	17181
