TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	9506.5	9327.5	9688.9
50000.0	12807.0	12625.5	12991.1
75000.0	14560.5	14413.9	14708.6
100000.0	15635.0	15509.9	15761.1
125000.0	16352.0	16236.0	16468.8
150000.0	16852.0	16760.8	16943.7
175000.0	17213.9	17140.7	17287.4
200000.0	17484.5	17418.8	17550.5
225000.0	17694.5	17631.6	17757.7
250000.0	17857.7	17792.5	17923.1
275000.0	17986.6	17913.7	18059.8
300000.0	18094.0	18007.8	18180.6
325000.0	18187.6	18082.9	18293.0
350000.0	18268.0	18140.8	18396.1
375000.0	18338.2	18186.7	18490.9
400000.0	18401.9	18225.2	18580.4
425000.0	18452.3	18249.4	18657.6
450000.0	18493.3	18263.5	18725.9
475000.0	18534.2	18277.7	18794.2
500000.0	18569.3	18286.6	18856.4
525000.0	18606.3	18298.2	18919.6
550000.0	18638.2	18305.7	18976.7
575000.0	18663.7	18307.9	19026.4
600000.0	18686.3	18308.3	19072.1
625000.0	18707.1	18308.0	19114.8
650000.0	18735.5	18316.4	19164.3
675000.0	18763.1	18324.8	19211.8
700000.0	18779.7	18323.2	19247.6
725000.0	18793.8	18320.0	19279.8
750000.0	18808.8	18318.4	19312.2
775000.0	18822.9	18316.9	19343.0
800000.0	18838.4	18317.4	19374.3
825000.0	18850.7	18315.4	19401.7
850000.0	18862.3	18313.3	19427.7
875000.0	18872.9	18310.9	19452.2
900000.0	18883.6	18309.1	19476.2
925000.0	18893.5	18307.1	19498.7
950000.0	18902.9	18305.0	19520.2
975000.0	18913.7	18304.9	19542.7
1000000.0	18926.4	18307.1	19566.6
1025000.0	18938.7	18309.4	19589.7
1050000.0	18950.7	18311.7	19611.9
1075000.0	18962.2	18314.0	19633.4
1100000.0	18971.8	18314.6	19652.5
1125000.0	18978.4	18312.7	19668.3
1150000.0	18987.4	18313.5	19686.2
1175000.0	18995.1	18313.2	19702.4
1200000.0	19000.9	18311.3	19716.4
1225000.0	19006.4	18309.5	19729.9
1250000.0	19013.2	18309.1	19744.3
1275000.0	19020.6	18309.7	19759.1
1300000.0	19027.8	18310.3	19773.5
1325000.0	19034.8	18310.9	19787.4
1350000.0	19041.7	18311.5	19800.9
1375000.0	19048.3	18312.1	19814.0
1400000.0	19054.7	18312.8	19826.7
1425000.0	19060.5	18312.9	19838.5
1450000.0	19065.5	18312.5	19849.5
1475000.0	19070.3	18312.0	19860.0
1500000.0	19074.7	18311.3	19869.9
1525000.0	19079.1	18310.8	19879.7
1550000.0	19084.5	18311.4	19890.3
1575000.0	19089.8	18312.0	19900.7
1600000.0	19095.0	18312.6	19910.8
1625000.0	19100.0	18313.2	19920.6
1650000.0	19104.9	18313.8	19930.1
1675000.0	19109.6	18314.4	19939.4
1700000.0	19114.3	18315.0	19948.5
1725000.0	19118.8	18315.6	19957.3
1750000.0	19123.2	18316.1	19965.9
1775000.0	19127.5	18316.7	19974.3
1800000.0	19131.7	18317.2	19982.5
1825000.0	19135.9	18317.8	19990.5
1850000.0	19139.9	18318.3	19998.2
1875000.0	19144.7	18319.8	20006.7
1900000.0	19150.9	18322.7	20016.6
1925000.0	19154.9	18323.5	20024.1
1950000.0	19157.8	18323.2	20030.4
1975000.0	19160.6	18323.0	20036.6
